persona,day_type,optimized_score,greedy_score,score_improvement,score_improvement_pct,optimized_activity_count,greedy_activity_count,optimized_route,greedy_route
普通游客,工作日,66.05,55.214,10.836,19.63,8,8,雷鸣山漂流 -> 创极速光轮 -> 米奇童话专列 -> 午餐休整 -> 加勒比海盗 -> 城堡日间演出 -> 晚餐休整 -> 飞越地平线 -> 七个小矮人矿山车 -> 奇梦之光幻影秀,创极速光轮 -> 加勒比海盗 -> 飞越地平线 -> 米奇童话专列 -> 七个小矮人矿山车 -> 雷鸣山漂流 -> 城堡日间演出 -> 奇梦之光幻影秀
普通游客,双休日,63.941,51.283,12.658,24.68,8,7,七个小矮人矿山车 -> 创极速光轮 -> 米奇童话专列 -> 午餐休整 -> 飞越地平线 -> 城堡日间演出 -> 加勒比海盗 -> 晚餐休整 -> 雷鸣山漂流 -> 奇梦之光幻影秀,加勒比海盗 -> 创极速光轮 -> 米奇童话专列 -> 飞越地平线 -> 雷鸣山漂流 -> 七个小矮人矿山车 -> 晚餐休整 -> 奇梦之光幻影秀
普通游客,节假日,49.986,39.208,10.778,27.49,7,5,飞越地平线 -> 米奇童话专列 -> 午餐休整 -> 加勒比海盗 -> 城堡日间演出 -> 雷鸣山漂流 -> 创极速光轮 -> 奇梦之光幻影秀,加勒比海盗 -> 创极速光轮 -> 午餐休整 -> 飞越地平线 -> 雷鸣山漂流 -> 晚餐休整 -> 奇梦之光幻影秀
家庭亲子游,工作日,96.734,95.313,1.421,1.49,11,11,胡迪牛仔嘉年华 -> 加勒比海盗 -> 七个小矮人矿山车 -> 米奇童话专列 -> 巴斯光年星际营救 -> 午餐休整 -> 城堡日间演出 -> 晚餐休整 -> 爱丽丝梦游仙境迷宫 -> 晶彩奇航 -> 小飞侠天空奇遇 -> 小熊维尼历险记 -> 奇梦之光幻影秀,小熊维尼历险记 -> 爱丽丝梦游仙境迷宫 -> 晶彩奇航 -> 胡迪牛仔嘉年华 -> 巴斯光年星际营救 -> 米奇童话专列 -> 午餐休整 -> 小飞侠天空奇遇 -> 城堡日间演出 -> 加勒比海盗 -> 晚餐休整 -> 七个小矮人矿山车 -> 奇梦之光幻影秀
家庭亲子游,双休日,90.827,72.134,18.693,25.91,11,9,七个小矮人矿山车 -> 小飞侠天空奇遇 -> 小熊维尼历险记 -> 米奇童话专列 -> 午餐休整 -> 加勒比海盗 -> 城堡日间演出 -> 晶彩奇航 -> 爱丽丝梦游仙境迷宫 -> 晚餐休整 -> 胡迪牛仔嘉年华 -> 巴斯光年星际营救 -> 奇梦之光幻影秀,爱丽丝梦游仙境迷宫 -> 小熊维尼历险记 -> 晶彩奇航 -> 午餐休整 -> 胡迪牛仔嘉年华 -> 巴斯光年星际营救 -> 城堡日间演出 -> 小飞侠天空奇遇 -> 晚餐休整 -> 加勒比海盗 -> 奇梦之光幻影秀
家庭亲子游,节假日,74.657,67.49,7.167,10.62,9,8,小飞侠天空奇遇 -> 小熊维尼历险记 -> 米奇童话专列 -> 午餐休整 -> 巴斯光年星际营救 -> 城堡日间演出 -> 晶彩奇航 -> 晚餐休整 -> 爱丽丝梦游仙境迷宫 -> 胡迪牛仔嘉年华 -> 奇梦之光幻影秀,爱丽丝梦游仙境迷宫 -> 小熊维尼历险记 -> 米奇童话专列 -> 午餐休整 -> 晶彩奇航 -> 城堡日间演出 -> 胡迪牛仔嘉年华 -> 晚餐休整 -> 巴斯光年星际营救 -> 奇梦之光幻影秀
情侣游,工作日,93.534,77.658,15.876,20.44,10,9,七个小矮人矿山车 -> 米奇大街合影 -> 飞越地平线 -> 米奇童话专列 -> 午餐休整 -> 加勒比海盗 -> 城堡日间演出 -> 晚餐休整 -> 奇想花园漫游 -> 爱丽丝梦游仙境迷宫 -> 创极速光轮 -> 奇梦之光幻影秀,米奇大街合影 -> 爱丽丝梦游仙境迷宫 -> 奇想花园漫游 -> 加勒比海盗 -> 创极速光轮 -> 飞越地平线 -> 七个小矮人矿山车 -> 城堡日间演出 -> 晚餐休整 -> 奇梦之光幻影秀
情侣游,双休日,92.34,84.45,7.89,9.34,10,9,飞越地平线 -> 七个小矮人矿山车 -> 米奇大街合影 -> 米奇童话专列 -> 午餐休整 -> 创极速光轮 -> 城堡日间演出 -> 奇想花园漫游 -> 晚餐休整 -> 加勒比海盗 -> 爱丽丝梦游仙境迷宫 -> 奇梦之光幻影秀,米奇大街合影 -> 奇想花园漫游 -> 爱丽丝梦游仙境迷宫 -> 加勒比海盗 -> 米奇童话专列 -> 午餐休整 -> 创极速光轮 -> 城堡日间演出 -> 飞越地平线 -> 晚餐休整 -> 奇梦之光幻影秀
情侣游,节假日,83.448,75.146,8.302,11.05,9,8,奇想花园漫游 -> 米奇大街合影 -> 创极速光轮 -> 米奇童话专列 -> 午餐休整 -> 加勒比海盗 -> 城堡日间演出 -> 飞越地平线 -> 晚餐休整 -> 爱丽丝梦游仙境迷宫 -> 奇梦之光幻影秀,米奇大街合影 -> 奇想花园漫游 -> 爱丽丝梦游仙境迷宫 -> 米奇童话专列 -> 午餐休整 -> 加勒比海盗 -> 城堡日间演出 -> 创极速光轮 -> 晚餐休整 -> 奇梦之光幻影秀
